제목,정보제공,날짜
삼성도 매일 줄 서서 사온다…바이든이 서명한 '웨이퍼' 뭐길래 [박신영...,한국경제,2022.05.21 14:26
"삼성 반도체 공장 둘러보던 바이든, 뜬금없이 ""투표 잊지 마라"" 왜?",매일경제,2022.05.21 09:52
"바이든, 삼성 직원에 ""땡큐""…이재용, 한미정상 이틀연속 만나 '경제외...",헤럴드경제,2022.05.21 08:51
"""TSMC 보고 있나""…바이든 앞 'GAA 3나노' 뽐낸 삼성전자 [강...",한국경제,2022.05.21 08:32
삼성전자 1분기 R&D에만 6조원 쐈다…특허획득 건수 봤더니 [비즈36...,헤럴드경제,2022.05.21 08:02
"""21세기 진정한 격전지""…외신, 삼성부터 찾은 바이든 주목(종합)",이데일리,2022.05.21 07:04
삼성전자 드디어 올랐는데…인플레 공포 이겨낼까,이데일리,2022.05.21 01:43
"바이든 두 손 모으고 '반도체' 경청…삼성 직원에 ""땡큐""",서울경제,2022.05.20 22:21
'갤럭시 버즈2 포켓몬' 삼성닷컴서 8분 만에 완판,한국경제,2022.05.20 22:08
"""또 콜라보 완판""…삼성, 버즈2 몬스터볼 8분만에 판매 종료",서울경제,2022.05.20 15:25
“8분만에 동났다고?”…삼성 ‘갤버즈2 포켓몬 에디션' 완판,이데일리,2022.05.20 14:26
삼성의 '포켓몬마케팅' 2연타…플립3 이어 버즈2도 5분새 완판,매일경제,2022.05.20 14:02
"""韓 반도체 공급망 역할 부각""…외신들, 바이든의 삼성 방문 주목",이데일리,2022.05.20 21:58
"""또 콜라보 완판""…삼성, 버즈2 몬스터볼 8분만에 판매 종료",서울경제,2022.05.20 15:25
“8분만에 동났다고?”…삼성 ‘갤버즈2 포켓몬 에디션' 완판,이데일리,2022.05.20 14:26
삼성의 '포켓몬마케팅' 2연타…플립3 이어 버즈2도 5분새 완판,매일경제,2022.05.20 14:02
"'삼성 반도체' 집중한 윤석열-바이든, ""땡큐"" 외치고 '엄지척'",한국경제,2022.05.20 21:48
'20조 투입' 삼성 美 파운드리 2공장…'기술동맹 상징',한국경제,2022.05.20 21:42
"'땡큐 삼성' 외친 바이든 ""반도체 공장, 양국 협력 증거""(종합)",이데일리,2022.05.20 21:24
"""삼성반도체도 미국에서 출발""…조연 같은 주연된 이재용 부회장",매일경제,2022.05.20 21:00
"이재용 ""삼성전자 반도체 혁신, 전 세계 모든 분들 덕분""",이데일리,2022.05.20 20:18
"尹대통령, 바이든과 평택 삼성 반도체 공장 방문 “경제안보 동맹 강화”",헤럴드경제,2022.05.20 20:05
"“128만원→59만원, 이게 실화냐” 삼성 한정판 ‘헐값’ 됐다",헤럴드경제,2022.05.20 19:52
"3나노 선점한 삼성…반도체 고객·장비 확보, 대형 M&A도 탄력",서울경제,2022.05.20 19:52
삼성부터 찾아간 바이든…반도체 패권 전쟁 속 韓·美 손 잡았다,한국경제,2022.05.20 19:32
"바이든, 웨이퍼에 방문 사인…삼성 3나노 반도체 뽐냈다",이데일리,2022.05.20 18:33
"바이든, 삼성 반도체 평택 캠퍼스 시찰…尹대통령과 첫 만남 ‘악수’[종...",헤럴드경제,2022.05.20 18:20
"이재용 ""삼성전자 반도체 혁신, 전 세계 모든 분들 덕분""",이데일리,2022.05.20 20:18
"[속보] 바이든, 삼성 평택 반도체 공장 도착",한국경제,2022.05.20 18:15
"백악관 ""바이든 삼성 방문…美 투자와 좋은 일자리로 이어져""",한국경제,2022.05.20 18:13
"'韓 도착' 바이든, 첫 일정 '삼성 공장' 방문",한국경제,2022.05.20 17:58
"[속보] 바이든, 한국 도착…첫 일정 '삼성' 공장으로 간다",한국경제,2022.05.20 17:27
"바이든, 한국 도착..삼성 평택공장 이동",파이낸셜뉴스,2022.05.20 17:41
"삼성전자, 6G 기술 선점 나선다",한경비즈니스,2022.05.20 17:32
"테스, 삼성전자서 242억원 규모 반도체 제조장비 수주",아시아경제,2022.05.20 16:39
"테스, 삼성전자서 242억 규모 반도체 제조장비 수주",이데일리,2022.05.20 16:23
"윤석열-바이든, 삼성 반도체공장서 '3나노 웨이퍼'에 서명",한국경제,2022.05.20 16:21
브라우저 업뎃·보안솔루션 공개…‘개인정보보호’ 강화나선 삼성,이데일리,2022.05.20 16:18
"삼성전자, 바이든 공장 방문 앞두고 6만8000원 회복",이데일리,2022.05.20 16:12
"제임스 김 암참 회장, 바이든 대통령과 삼성전자 평택공장 간다",이데일리,2022.05.20 16:09
"[속보] 바이든, 한국 도착…첫 일정 '삼성' 공장으로 간다",한국경제,2022.05.20 17:27
"테스, 삼성전자서 242억 규모 반도체 제조장비 수주",이데일리,2022.05.20 16:23
삼성 평택공장 '프라이빗 초대장' 보니…드레스코드는 '타이정장' [정지...,한국경제,2022.05.20 14:36
삼성·SK하이닉스 1분기 D램 점유율 70%…압도적 지위 유지,한국경제,2022.05.20 13:49
"[특징주]3S, 尹-바이든 삼성 3나노 웨이퍼 동맹… 국내 유일 웨이퍼...",아시아경제,2022.05.20 13:33
"[특징주]맥스트, 애플·삼성 등 글로벌기업 차세대 주력 제품군 AR기기...",파이낸셜뉴스,2022.05.20 13:21
삼성전자만 65%…높아지는 원재료 부담,헤럴드경제,2022.05.20 11:28
"""한국만 역주행""…삼성 '고졸신화' 양향자 의원의 탄식 [정지은의 산업...",한국경제,2022.05.20 10:38
[영상] “美대통령 최초 방문” 역사적 만남에 세계가 ‘삼성 평택’ 주...,헤럴드경제,2022.05.20 09:59
[투자노트] 조 바이든 대통령 삼성전자 평택공장 시찰...‘반도체’에...,조선비즈,2022.05.20 09:02
"삼성전자, 바이든 대통령 평택공장 방문 소식에 ↑",한국경제,2022.05.20 09:25
[1일IT템]삼성전자 '몬스터볼 갤버즈2 패키지' 한정 판매...13만...,파이낸셜뉴스,2022.05.20 08:48
"삼성, ‘갤럭시 버즈2 포켓몬 몬스터볼 커버 패키지’ 한정 판매",이데일리,2022.05.20 08:38
바이든 오늘 삼성 찾는다…이재용의 '3나노 반도체'에 반할까,이데일리,2022.05.20 08:03
[투자노트] 조 바이든 대통령 삼성전자 평택공장 시찰...‘반도체’에...,조선비즈,2022.05.20 09:02
"삼성, ‘갤럭시 버즈2 포켓몬 몬스터볼 커버 패키지’ 한정 판매",이데일리,2022.05.20 08:38
"""삼성 창사 이래 최대 이벤트""…尹·바이든 동시 방문에 '들썩'",한국경제,2022.05.19 21:02
바이든 삼성공장 오는데…재판 때문에 현장점검 못한 이재용,서울경제,2022.05.19 18:02
